internal_store_id;internal_product_id;distributor_id;transaction_date;reference_date;quantity;gross_value;net_value;gross_profit;discount;taxes
7384367747233276219;328903483604537190;9;2022-07-13;2022-07-01;1.0;38.125;37.890625;10.042625427246094;3.950000047683716;0.234375
3536908514005606262;5418855670645487653;5;2022-03-21;2022-03-01;6.0;107.25;106.44000244140625;24.73200225830078;17.100000381469727;0.8100000023841858
3138231730993449825;1087005562675741887;6;2022-09-06;2022-09-01;3.0;56.625;56.220001220703125;14.124001502990723;5.25;0.4050000011920929
3681167389484217654;1401422983880045188;5;2022-09-11;2022-09-01;129.0;1037.1600227355957;1037.1600227355957;156.3480257987976;479.880006313324;0.0
7762413312337359369;6614994347738381720;4;2022-02-18;2022-02-01;1.0;26.229999542236328;23.950241088867188;6.550240993499756;0.0;2.2797579765319824
5871504315270136638;3553055402616033444;10;2022-09-11;2022-09-01;48.0;239.52000427246094;239.52000427246094;37.839988708496094;47.040000915527344;0.0
1027356552181929439;576514643033029430;4;2022-10-04;2022-10-01;7.0;153.75499725341797;133.80711364746094;40.51811218261719;23.449999809265137;19.94788646697998
6652651222667566690;2811937796518769916;5;2022-09-11;2022-09-01;45.9999897480011;2035.279598236084;2035.279598236084;517.2799386978149;123.6399712562561;0.0
7752780566579715772;5418855670645487653;4;2022-06-21;2022-06-01;12.0;223.70399856567383;203.1861686706543;54.818169593811035;15.599999904632568;20.517828226089478
5339226423887032797;2126695985526201979;5;2022-10-06;2022-10-01;1.0;42.79999923706055;42.619998931884766;12.772998809814453;6.179999828338623;0.18000000715255737
2030805528203126173;1364548354607636823;5;2022-09-11;2022-09-01;159.0;1773.3599872589111;1773.3599872589111;368.86003917455673;497.44994163513184;0.0
4441969626842003596;7890016101383296727;4;2022-06-14;2022-06-01;2.0;18.5;18.5;4.518330097198486;6.099999904632568;0.0
6825966060938407713;9149212002603716850;4;2022-05-25;2022-05-01;3.0;80.25;73.41072845458984;20.72772789001465;0.0;6.839273929595947
